Mitry Claye;['ligne K']
Villeparisis Mitry le Neuf;[]
Vert Galant;[]
Sevran Livry;[]
Aulnay sous Bois;['ligne K', 'tramway T4']
Le Blanc Mesnil;[]
Drancy;[]
Le Bourget;['tramway T11']
La Courneuve Aubervilliers;[]
La Plaine - Stade de France (Saint Denis - Aubervilliers);[]
Paris Nord;['RER D', 'RER E', 'Ligne H', 'Ligne K', 'métro 2', 'métro 4', 'métro 5', 'TGV et TER']
Châtelet - Les Halles;['RER A', 'RER D', 'métro 1', 'métro 4', 'métro 7', 'métro 11', 'métro 14']
Saint-Michel Notre Dame;['RER C', 'métro 10']
Luxembourg (Sénat);[]
Port Royal;[]
Denfert Rochereau (Colonel Rol-Tanguy);['métro 4 et 6', 'Orlybus']
Cité Universitaire;['tramway T3a']
Gentilly;[]
Laplace (Maison des Examens);[]
Arcueil Cachan;[]
Bagneux;[]
Bourg la Reine;[]
Parc de Sceaux;[]
La Croix de Berny;['bus TVM', 'gare non accessible PMR']
Antony (Orly);['Orlyval']
Fontaine Michalon;[]
Les Baconnets;[]
Massy Verrières;['RER C']
Massy Palaiseau;['RER C', 'TGV']
Palaiseau;[]
Palaiseau Villebon;[]
Lozère (École Polytechnique);[]
Le Guichet;[]
Orsay Ville;[]
Bures sur Yvette;[]
La Hacquinière;[]
Gif sur Yvette;[]
Courcelle sur Yvette;[]
Saint-Rémy lès Chevreuse;[]